Iteration,Encryption Time,Decryption Time,Verification
0,24904372,9493682,True
1,9705153,10240831,True
2,10811225,10604401,True
3,9743827,8405986,True
4,11706254,9592228,True
5,9756291,10231123,True
6,11591556,9743537,True
7,12063492,9382540,True
8,6635122,7135914,True
9,13455417,9475567,True
10,10780095,9727926,True
11,8821946,10836743,True
12,11626633,9284705,True
13,11821192,10603260,True
14,12093160,6703302,True
15,9948315,7622678,True
16,8204283,7832937,True
17,12777659,6026777,True
18,10598290,7229671,True
19,10736222,7252856,True
20,10978171,7201007,True
21,11368032,7363375,True
22,12391125,5732208,True
23,12117806,5470520,True
24,11194162,4343700,True
25,11816684,5074368,True
26,15911367,7355892,True
27,11735479,5128711,True
28,9416054,6850551,True
29,10371238,7121777,True
30,21640855,15907276,True
31,9065860,6165856,True
32,9182140,5904545,True
33,11114621,6548168,True
34,10257954,7138484,True
35,20631290,7342225,True
36,34847783,87061204,True
37,26735219,6424803,True
38,8976630,3691061,True
39,23421226,7466957,True
40,19408709,7493312,True
41,26946832,6897090,True
42,35864839,19623798,True
43,14741638,5703362,True
44,22219512,5377383,True
45,12764073,7983754,True
46,6548157,7207259,True
47,5639381,7534250,True
48,31351521,16879009,True
49,20021618,29237658,True
50,11896946,6787823,True
51,8368284,7038869,True
52,11820150,7740562,True
53,11817641,6149360,True
54,15587696,7298007,True
55,9855189,5892542,True
56,11497988,6554609,True
57,32577501,18401295,True
58,6943117,3819915,True
59,11500975,6578304,True
60,10927896,7434551,True
61,11864565,6609754,True
62,8620954,6405426,True
63,14087547,7139079,True
64,9795004,7014473,True
65,8979084,5875039,True
66,12574563,6873375,True
67,13068722,5821006,True
68,11832844,5833630,True
69,11879694,5615386,True
70,10826293,6475770,True
71,10858784,6522028,True
72,12235069,8073004,True
73,11348795,7267063,True
74,10751892,6093815,True
75,8246517,5635033,True
76,36026958,6914133,True
77,8575698,5640964,True
78,33536919,18432182,True
79,11579805,5457575,True
80,11456710,5521357,True
81,22698774,7427808,True
82,33736835,11431524,True
83,47173271,7924805,True
84,10715472,7620955,True
85,10514931,6839581,True
86,8166099,5479267,True
87,9084484,5214454,True
88,13177419,9283202,True
89,7249510,5945974,True
90,12385534,7011037,True
91,43747971,31105265,True
92,119367999,26051636,True
93,35286509,17246747,True
94,10181828,7504826,True
95,11747112,7300658,True
96,12009722,7709104,True
97,12043275,7523431,True
98,11935601,7682843,True
99,9728660,5658608,True
100,13022747,6711146,True
101,11697889,6803312,True
102,11778907,6696559,True
103,32673801,17081915,True
104,10519606,7109043,True
105,11681858,5954820,True
106,11697848,6311608,True
107,13350548,5984416,True
108,11083240,5650623,True
109,12480826,5213522,True
110,11427905,5142508,True
111,11806966,7288724,True
112,24722137,6174668,True
113,8833413,5163277,True
114,38923600,16790591,True
115,46087396,20617550,True
116,12867259,8408350,True
117,12212756,7896699,True
118,10944929,7576270,True
119,20489887,17216421,True
120,10745901,7592130,True
121,10765117,5946264,True
122,9514001,4230275,True
123,13134207,6282272,True
124,9840430,8421215,True
125,10864697,6508622,True
126,12195433,6311438,True
127,12448634,6901007,True
128,8910659,6359879,True
129,11005052,6981209,True
130,11592508,6465471,True
131,9331774,6278244,True
132,35145690,4990469,True
133,41339618,17460961,True
134,25831202,6098002,True
135,22232658,4335594,True
136,11804080,6703268,True
137,11466278,16775092,True
138,10815382,16994258,True
139,15669066,6338870,True
140,40611255,7449048,True
141,20433550,4752516,True
142,25003707,20389736,True
143,15379581,5252646,True
144,15634486,6670028,True
145,11357111,7483133,True
146,12560577,7204203,True
147,9667853,7143638,True
148,48134895,31342275,True
149,12169193,7060791,True
150,11164956,7570338,True
151,12390644,7707379,True
152,11861239,7540572,True
153,10838706,5725404,True
154,16779880,19095930,True
155,12461338,6438048,True
156,49036482,20757417,True
157,11949867,8582401,True
158,11424429,9860218,True
159,50294249,8773113,True
160,12920921,7969317,True
161,9322346,6371121,True
162,12535419,8907178,True
163,12287308,7509503,True
164,12211684,7203792,True
165,12577960,8206227,True
166,12743054,9403691,True
167,54311030,7037908,True
168,13863611,7343137,True
169,37197987,7099274,True
170,11508048,5808673,True
171,12764404,7628328,True
172,9774976,5840733,True
173,10528257,7574547,True
174,10583722,7589966,True
175,10731343,6156573,True
176,11435520,7524241,True
177,11532103,8335101,True
178,13254264,7233769,True
179,30679055,6368446,True
180,32952428,6988554,True
181,14425239,8472161,True
182,10077240,8558235,True
183,11795514,17903419,True
184,11723196,14881144,True
185,11872580,15594956,True
186,14931560,7262463,True
187,13713677,8004964,True
188,13920990,8531524,True
189,19426980,9527606,True
190,11125100,7047706,True
191,11429559,7471511,True
192,10932144,7108842,True
193,12456769,6920494,True
194,13865761,7443238,True
195,10058816,5802952,True
196,12607380,8195586,True
197,11444477,7540342,True
198,23115980,8093643,True
199,33734543,36631211,True
200,11979393,7590637,True
201,34826180,17237700,True
202,12329388,6907820,True
203,32333408,29758672,True
204,12591065,7519763,True
205,12233255,7595607,True
206,12199852,7486008,True
207,14808817,8267433,True
208,48217090,22317810,True
209,9932195,10362062,True
210,35047208,6972142,True
