Iteration,Encryption Time,Decryption Time,Verification
0,1682866,1166115,True
1,4956804,4651745,True
2,1921811,2087324,True
3,1906351,1981363,True
4,2574721,2157268,True
5,1960423,1838312,True
6,2550985,1510529,True
7,3181112,1581894,True
8,3468247,17086869,True
9,7528038,2974039,True
10,5081301,2786893,True
11,2556426,1499879,True
12,2846617,2142479,True
13,5407140,2225968,True
14,4402693,2277515,True
15,3156725,2333001,True
16,2250835,932581,True
17,1773088,824546,True
18,5095839,1623033,True
19,1646898,872568,True
20,5497536,3326488,True
21,14389851,1463831,True
22,2904687,1482676,True
23,2418253,1032310,True
24,2133913,1473463,True
25,1849142,775543,True
26,1565092,930397,True
27,1428734,932331,True
28,2928573,12051670,True
29,1998586,1063971,True
30,14640465,2479862,True
31,2179930,1219165,True
32,2380581,13630919,True
33,1997835,1292465,True
34,14951894,14283619,True
35,2520227,1275152,True
36,14027359,1526990,True
37,2132210,1500720,True
38,4108884,2900851,True
39,2103636,1084950,True
40,2656335,1180713,True
41,2213334,973940,True
42,2742749,1575201,True
43,3097634,2037089,True
44,3824063,2140045,True
45,3259340,1499238,True
46,3732820,5185570,True
47,4741136,2964140,True
48,16363471,3232318,True
49,4496420,1869991,True
50,3845524,3928051,True
51,3579734,1420919,True
52,4297682,2428923,True
53,4008364,2200048,True
54,4068639,1627562,True
55,4042859,1665633,True
56,3549713,1802834,True
57,4661413,3148350,True
58,3643240,3184759,True
59,16236799,1583687,True
60,4367050,1577947,True
61,4337619,1847779,True
62,4265602,2312552,True
63,24755359,2141327,True
64,2952949,1856486,True
65,4632950,2399407,True
66,4672585,2677135,True
67,2829263,1420649,True
68,3218223,2711420,True
69,4502291,2922701,True
70,5655543,2275011,True
71,4678386,2348660,True
72,2893816,1510028,True
73,2714446,1519176,True
74,13830273,1889338,True
75,4501029,26522182,True
76,4728942,2099217,True
77,4606259,2771484,True
78,4732358,3042539,True
79,3345594,2517461,True
80,18409017,2406261,True
81,3686673,1853049,True
82,2983136,1648561,True
83,5313251,1744945,True
84,25970574,1780011,True
85,17104820,2402684,True
86,2593786,1493617,True
87,2661065,1529285,True
88,3576093,2662788,True
89,2740615,2065633,True
90,7960701,2212884,True
91,2851546,1557168,True
92,4446106,2556346,True
93,3395349,4695668,True
94,2797503,12887919,True
95,2973679,2030848,True
96,2713194,1698677,True
97,2955344,2553320,True
98,6741348,3637890,True
99,4438000,2352258,True
100,3828251,2198315,True
101,4089117,2457488,True
102,2825607,1639694,True
103,6163621,3639563,True
104,3004626,1417863,True
105,4259310,2653980,True
106,4537759,2813043,True
107,4505578,2560854,True
108,5051525,2138251,True
109,4867696,1854101,True
110,17188484,5372980,True
111,3917363,29559925,True
112,5321518,2908585,True
113,5345413,3372816,True
114,20742543,2062527,True
115,13471482,6853934,True
116,5558878,2437289,True
117,5318662,4251605,True
118,3937539,1330387,True
119,5673746,2002523,True
120,6324042,2366244,True
121,5656273,2569601,True
122,2947959,9355740,True
123,3976253,2202593,True
124,2733502,1405149,True
125,4445474,6090679,True
126,3881833,5700984,True
127,3107081,1694329,True
128,7292991,1902693,True
