Iteration,Encryption Time,Decryption Time,Verification
0,2851857,3098776,True
1,5330855,6524462,True
2,4530876,4180140,True
3,5439181,6449570,True
4,5573025,6725393,True
5,6207270,8187572,True
6,17571205,5850232,True
7,6091721,4316027,True
8,6153317,6802310,True
9,5746224,7553276,True
10,5707941,26410092,True
11,5760020,5884727,True
12,5526417,6158397,True
13,9445881,5826546,True
14,17783322,19804505,True
15,6302070,6262144,True
16,4081272,4166223,True
17,5500999,3017451,True
18,2931488,2511551,True
19,4104827,4574519,True
20,5168697,4212360,True
21,7102781,3793455,True
22,6421277,4616779,True
23,6822979,5214734,True
24,8936554,5561754,True
25,5089788,5226477,True
26,7070039,9240666,True
27,7359117,5511057,True
28,7672493,5197722,True
29,10040966,5101509,True
30,5276092,4002472,True
31,8957663,5110807,True
32,9054367,4810597,True
33,6348748,5238439,True
34,6035213,5174849,True
35,6968716,4414485,True
36,6744580,5016418,True
37,7068005,5230634,True
38,7505866,4795889,True
39,6664879,4216299,True
40,5602962,4367416,True
41,8615023,5900116,True
42,6447596,5796510,True
43,6468436,5038651,True
44,6062024,5619653,True
45,5362635,4161384,True
46,6526572,5602521,True
47,6702039,4751325,True
48,6049710,6568146,True
49,7491469,4854951,True
50,5249721,4301480,True
51,6867294,5580178,True
52,7679566,4650412,True
53,7777282,4008313,True
54,8568124,4355984,True
55,6878915,4899707,True
56,16584012,15471386,True
57,6095177,4957867,True
58,6806007,4471252,True
59,6909253,4377234,True
60,5499356,8962763,True
61,5402250,3789488,True
62,6176401,5765080,True
63,6663677,4857536,True
64,6204494,5120485,True
65,8031083,4330806,True
66,17705314,15786103,True
67,6430724,4234663,True
68,6104755,4675180,True
69,5057526,5051925,True
70,4964669,3741907,True
71,5086090,5053268,True
72,5685479,3995008,True
73,6749740,4669740,True
74,6209243,3923432,True
75,5907551,4065141,True
76,14334201,27983763,True
77,6354499,3492634,True
78,5023982,2872014,True
79,4629302,3636718,True
80,17770042,31208183,True
81,3865081,4376523,True
82,4513733,4481031,True
83,9433253,4285400,True
84,4623422,4245423,True
