Iteration,Encryption Time,Decryption Time,Verification
0,898305,872136,True
1,741566,492090,True
2,749782,477021,True
3,719414,520584,True
4,775742,487632,True
5,740334,479175,True
6,710887,506918,True
7,711509,471290,True
8,725145,472182,True
9,783337,475037,True
10,804577,496509,True
11,712701,469006,True
12,706279,481931,True
13,765292,479907,True
14,763769,490297,True
15,755483,501558,True
16,730996,472011,True
17,707682,462313,True
18,685649,481189,True
19,685900,463135,True
20,684868,484245,True
21,689717,466551,True
22,745203,492381,True
23,692402,466020,True
24,688205,462082,True
25,702732,460379,True
26,685339,634282,True
27,685710,464797,True
28,767555,561793,True
29,839333,525434,True
30,741827,486650,True
31,705137,468725,True
32,708043,497050,True
33,721969,464827,True
34,784217,549590,True
35,701600,466190,True
36,687794,487892,True
37,687523,464567,True
38,685890,466130,True
39,708743,484265,True
40,713764,546945,True
41,725726,502239,True
42,845596,601258,True
43,709756,470388,True
44,855514,490487,True
45,690429,480427,True
46,704746,473354,True
47,689046,464447,True
48,687052,466190,True
49,702362,468214,True
50,690699,474266,True
51,689657,463355,True
52,829434,495015,True
53,706550,467473,True
54,686150,465790,True
55,713012,465880,True
56,686371,464797,True
57,699235,465459,True
58,746205,503321,True
59,686241,462694,True
60,701229,463285,True
61,797233,465058,True
62,686832,463225,True
63,686852,464487,True
64,775140,480568,True
65,696501,465970,True
66,690189,463625,True
67,687954,478624,True
68,686432,484275,True
69,687523,462443,True
70,724103,544360,True
71,727369,465179,True
72,688054,467163,True
73,701450,468916,True
74,688254,468656,True
75,683636,462593,True
76,720667,467403,True
77,1120410,565741,True
78,733291,474566,True
79,687443,465269,True
80,710527,467873,True
81,691250,535824,True
82,763408,476200,True
83,688094,462994,True
84,706199,464097,True
85,691320,478995,True
86,695628,463114,True
87,691090,568946,True
88,702993,465740,True
89,760402,496428,True
90,692262,532637,True
91,832139,524953,True
92,750964,468705,True
93,731517,464247,True
94,691801,466711,True
95,696470,464828,True
96,703093,463575,True
97,692071,507910,True
98,692603,468986,True
99,692383,501788,True
100,697462,507298,True
101,752818,480848,True
102,698374,487130,True
103,700298,489825,True
104,700708,467022,True
105,741316,522548,True
106,720105,477602,True
107,701139,480197,True
108,708183,473815,True
109,707301,474547,True
110,1042060,511867,True
111,731968,501778,True
112,712020,477211,True
113,702352,467874,True
114,705577,466330,True
115,712852,468756,True
116,692633,467994,True
117,717711,466040,True
118,691811,464437,True
119,744512,478935,True
120,725276,471320,True
121,692864,464808,True
122,701791,463074,True
123,826999,466020,True
124,691310,465359,True
125,689727,465540,True
126,691151,518390,True
127,689667,466170,True
128,695158,551824,True
129,774740,469827,True
130,712471,466391,True
131,702923,464357,True
132,726859,464818,True
133,741586,493422,True
134,705557,468164,True
135,689857,510354,True
136,687954,466621,True
137,708743,468725,True
138,804807,473103,True
139,703413,474246,True
140,699265,462664,True
141,690448,516006,True
142,688645,463876,True
143,691661,464537,True
144,690810,548327,True
145,1651023,484956,True
146,695498,464137,True
147,721127,467432,True
148,703774,467763,True
149,845214,639632,True
150,791872,484755,True
151,691380,499394,True
152,736797,487561,True
153,720937,470629,True
154,701119,470248,True
155,693204,469717,True
156,713353,468134,True
157,695659,468705,True
158,695839,473845,True
159,730255,465359,True
160,708223,506277,True
161,712030,493552,True
162,700828,466922,True
163,696060,463426,True
164,719795,465750,True
165,722369,468074,True
166,690920,466151,True
167,845666,501899,True
168,709314,465349,True
169,717270,465889,True
170,708854,469476,True
171,737979,471320,True
172,708133,570219,True
173,714354,483925,True
174,716809,471721,True
175,712020,469337,True
176,729624,469326,True
177,745714,466531,True
178,788005,531114,True
179,724534,474085,True
180,689447,464758,True
181,704646,464908,True
182,692071,482341,True
183,737308,472171,True
184,692553,523039,True
185,687122,462584,True
186,686171,566653,True
187,704205,466341,True
188,689677,468144,True
189,707682,466972,True
190,687723,476911,True
191,729222,473785,True
192,696330,471741,True
193,691812,468144,True
194,685339,461351,True
195,743480,462884,True
196,696620,463726,True
197,708363,479896,True
198,686481,480407,True
199,708593,467352,True
