Iteration,Encryption Time,Decryption Time,Verification
0,7882392,6109294,True
1,8327382,5328311,True
2,6726566,7487631,True
3,6841404,7438799,True
4,6572053,7334301,True
5,6998934,7713381,True
6,8920458,4213543,True
7,6680138,7802660,True
8,6772594,7671571,True
9,7314713,7361082,True
10,7587193,9155029,True
11,6747035,7517188,True
12,29771547,30614918,True
13,7808140,9907067,True
14,6569728,6853557,True
15,8004073,7831635,True
16,4528701,4079969,True
17,4685099,3871603,True
18,5589767,4615877,True
19,6300897,4411269,True
20,7620274,4392143,True
21,7611176,4345514,True
22,18357292,6335719,True
23,5856433,4287954,True
24,5590598,4565031,True
25,4850273,2954652,True
26,4575100,3957376,True
27,6396689,5140533,True
28,6729541,5084547,True
29,6115595,5750622,True
30,7183555,6110566,True
31,32255008,16969631,True
32,7370034,4857947,True
33,7821937,4461274,True
34,19836474,33981413,True
35,6868526,4769299,True
36,7214823,4987643,True
37,6660922,4914084,True
38,6914543,6449500,True
39,7215034,5435955,True
40,7450761,4338089,True
41,7862934,3859991,True
42,10515453,5501289,True
43,7033389,4397342,True
44,5843359,6033008,True
45,6608592,5268366,True
46,6907389,4971743,True
47,7760841,5462425,True
48,8264958,4113072,True
49,8026696,4366623,True
50,7014062,3979629,True
51,8406868,6418411,True
52,7284967,4829784,True
53,5866803,4745329,True
54,6299960,3842468,True
55,7789715,6064398,True
56,8441172,5499436,True
57,8138137,6000627,True
58,8147355,4534122,True
59,16990772,15642281,True
60,8807809,5382073,True
61,29940776,5077163,True
62,7792531,5804936,True
63,9453225,6774537,True
64,7456022,7042385,True
65,8359327,5113162,True
66,8613300,5719163,True
67,19634030,29184347,True
68,6082844,3903594,True
69,7347816,4831277,True
70,7068476,4683536,True
71,7116877,5263698,True
72,6435363,5152247,True
73,6475400,5178327,True
74,7418301,3448130,True
75,7048720,4873657,True
76,7001299,4228733,True
77,5320055,3874921,True
78,7186902,5475430,True
79,9178435,5777032,True
80,31596904,16964355,True
81,30405551,15951573,True
82,5228842,4647217,True
83,7880338,6684847,True
84,8165058,4316078,True
85,8355970,6240864,True
86,7440532,3973457,True
87,31661166,17322166,True
88,8853696,4955893,True
89,5748328,4643850,True
90,7547906,4767354,True
91,8092050,9435501,True
92,7692390,4574519,True
93,7720313,6027027,True
94,7707219,6282523,True
95,7514543,6137758,True
96,5998263,5765591,True
97,6486691,6224783,True
98,9432546,7355270,True
99,13917434,4868366,True
100,8409833,7862564,True
101,8056772,6465380,True
102,7793022,5881080,True
103,17674405,17296863,True
104,9237856,5373145,True
105,8906767,5056073,True
106,8615844,5240905,True
107,9449167,4580200,True
108,23736264,6565290,True
109,8306998,5095008,True
110,6108562,4489057,True
111,6333940,5952536,True
112,7656602,6058428,True
113,8675828,5409645,True
114,8211877,11391898,True
115,8652113,5638208,True
116,12140167,4923992,True
117,8192981,5372094,True
118,8586979,6002160,True
119,10200374,5217500,True
120,19111775,5395528,True
121,8552013,5662636,True
122,7994134,5804284,True
123,7221486,5675950,True
124,13591525,5030103,True
125,8690907,5595167,True
126,8371861,6279968,True
127,8376810,5251344,True
128,26683618,15302002,True
129,18330932,16608402,True
130,7357504,4980359,True
131,24947654,4913453,True
132,8190055,5835213,True
133,7992721,5039677,True
134,8519391,5383715,True
135,7875929,5560001,True
136,9851091,4782754,True
137,7707038,5555512,True
138,7232147,5968006,True
139,7533068,5180971,True
140,6815304,4481101,True
141,6487607,4651334,True
142,31471232,15809692,True
143,8966921,7217128,True
144,31216211,18153517,True
145,7603011,6560461,True
146,12079413,5210436,True
147,8071671,5659880,True
148,7791008,5831386,True
149,6572613,6411438,True
150,6889004,5098353,True
151,7967083,5928219,True
152,7366502,5784818,True
153,9055219,4502762,True
154,31129045,15929726,True
155,8728914,4497111,True
156,7627448,5003163,True
157,7704132,5577854,True
158,8109512,7253116,True
159,6281210,4004987,True
160,7993082,5573045,True
161,12141401,5561283,True
162,8287761,5608823,True
163,8229571,5715595,True
164,32268995,4190546,True
165,8548687,5613543,True
166,30387343,16014155,True
167,8673654,5309465,True
168,8195115,6930032,True
169,8586028,5813011,True
170,8971811,7331856,True
171,7823229,5653458,True
172,7958045,5451064,True
173,11322105,4935324,True
174,7117549,5852757,True
175,8995305,6358156,True
176,7935042,5516808,True
177,7955250,5347357,True
178,8896973,5484857,True
179,6264839,4383245,True
180,7623500,5318782,True
181,8232797,5475059,True
182,7931776,5700026,True
183,7843879,5798082,True
184,16118074,5900107,True
185,6787312,5934172,True
186,9890426,5550893,True
187,8746933,4893444,True
188,8923499,5374047,True
189,8790987,5906128,True
190,11807788,5474397,True
191,20242669,5572795,True
192,32291292,2174109,True
193,16983918,14144241,True
194,7903422,5917369,True
195,7930112,5505296,True
196,7914282,6996073,True
197,49170646,3650835,True
198,7557545,6226035,True
199,7749960,5828992,True
200,36466995,3415276,True
201,9048547,6520885,True
202,8978473,5494146,True
203,8943286,4840734,True
204,8819251,6143299,True
205,9912653,6228630,True
206,8180047,23112769,True
207,17223784,2369751,True
208,23966325,1766695,True
209,17085941,2936136,True
210,26731618,3681647,True
211,14825595,2438341,True
212,13470845,2160904,True
213,4550012,2543431,True
214,19142879,27572787,True
215,3689257,2120758,True
216,2595520,20647773,True
217,19859750,21282804,True
218,7750631,5297973,True
219,7306007,4900348,True
220,5944280,4289087,True
221,6140814,6637267,True
222,46067163,9022582,True
223,7389215,4615215,True
224,6737617,5412741,True
225,7728449,4968928,True
226,5867504,3703755,True
227,21396935,18862528,True
228,7638297,4574659,True
229,7275589,5079729,True
230,6859749,4079750,True
231,5018441,5560141,True
232,17866597,11492824,True
233,4186752,4579528,True
234,6900656,4922068,True
235,8278895,5514925,True
236,9034099,5473617,True
237,8283173,6199606,True
238,5636526,8348158,True
239,20209561,3839353,True
240,8606757,4822671,True
241,8019513,6124293,True
242,17335072,3918132,True
243,7601750,5759430,True
244,9495667,4737148,True
245,8493844,2977375,True
246,5160492,6496574,True
247,5960181,6122579,True
248,10069661,6004154,True
249,9053856,5373877,True
250,18326591,14870890,True
251,8206157,5274729,True
252,8419601,5775660,True
253,7683995,8997289,True
254,25316735,8240352,True
255,16790533,16217043,True
256,6926355,5617019,True
257,6611758,17926058,True
258,10018709,4119455,True
259,18338201,5548127,True
260,8054108,2848891,True
261,6835829,4392182,True
262,6600506,5185239,True
263,6492325,3263754,True
264,7790347,19671102,True
265,8137516,28685503,True
266,7804504,28538033,True
267,43554310,14842406,True
268,10615453,2838532,True
269,54319131,4819124,True
270,6453317,2732790,True
271,3610297,2561575,True
272,4022169,3804085,True
273,4863478,3764891,True
274,3438661,2758599,True
275,3425556,2626188,True
276,36035388,6591189,True
277,4888155,4143350,True
278,4856254,4308734,True
279,10561440,4828331,True
280,4736235,4139031,True
281,6862605,3697183,True
282,6614814,4453249,True
283,10570156,4756204,True
284,5376211,4353679,True
285,15519311,3165523,True
286,6091439,9369105,True
287,6508412,4161194,True
288,6403883,4230536,True
289,6815505,3738050,True
290,6466262,3486953,True
291,14599263,8406567,True
292,6909684,3342649,True
293,5134182,3807522,True
294,7587703,3549972,True
295,7077086,4427379,True
296,6651714,3673678,True
297,8336775,4064048,True
298,8291388,2952508,True
299,7025778,3766374,True
