Iteration,Encryption Time,Decryption Time,Verification
0,784679,690418,True
1,596639,397599,True
2,728752,430112,True
3,646745,398821,True
4,640253,377832,True
5,627448,403941,True
6,623490,376810,True
7,678045,343356,True
8,558607,343276,True
9,651885,335692,True
10,558677,332926,True
11,567724,332224,True
12,576110,337535,True
13,559068,331362,True
14,600627,365378,True
15,561262,332816,True
16,564408,449961,True
17,673587,476400,True
18,614193,384554,True
19,606839,377551,True
20,605697,378232,True
21,603673,378202,True
22,606458,388702,True
23,655352,380467,True
24,1004018,359177,True
25,560922,332174,True
26,574958,335631,True
27,703894,336452,True
28,580138,339077,True
29,561552,330581,True
30,558848,377581,True
31,558166,331082,True
32,569277,329830,True
33,556482,331182,True
34,557504,409131,True
35,557806,331173,True
36,558266,343997,True
37,602130,351321,True
38,559088,330231,True
39,555040,330061,True
40,574728,330661,True
41,556132,332144,True
42,716599,371690,True
43,558607,331514,True
44,593243,334188,True
45,557905,332645,True
46,571331,334749,True
47,557926,331042,True
48,559177,328838,True
49,606167,344257,True
50,556634,330762,True
51,555491,330611,True
52,583154,338236,True
53,560210,344217,True
54,584356,342644,True
55,627138,342715,True
56,579486,408921,True
57,571401,341342,True
58,566923,349367,True
59,558507,382691,True
60,673867,344578,True
61,601900,337655,True
62,559909,347073,True
63,578846,384865,True
64,559919,331162,True
65,557645,331373,True
66,580329,365538,True
67,565169,334770,True
68,577073,331463,True
69,555181,330271,True
70,568575,331303,True
71,580319,331152,True
72,558337,350950,True
73,640694,334669,True
74,633621,335692,True
75,608261,337735,True
76,558137,331894,True
77,557494,331212,True
78,557254,371840,True
79,552866,329980,True
80,553377,330000,True
81,557064,424971,True
82,571151,349618,True
83,560280,344909,True
84,558206,329981,True
85,598734,331894,True
86,558466,332104,True
87,558838,330040,True
88,555311,389844,True
89,723527,362543,True
90,624533,359727,True
91,583294,334458,True
92,576210,332124,True
93,559438,342424,True
94,558487,347724,True
95,570600,331123,True
96,590307,342915,True
97,558647,331954,True
98,557325,330692,True
99,555901,331032,True
100,582212,336733,True
101,559028,353144,True
102,555881,343626,True
103,579066,468355,True
104,567975,341633,True
105,558217,331994,True
106,556623,330461,True
107,602460,364476,True
108,554088,329599,True
109,555801,331563,True
110,558727,332645,True
111,576681,334128,True
112,557796,331633,True
113,560320,350109,True
114,557996,330882,True
115,655642,410854,True
116,600978,332996,True
117,556282,330691,True
118,570589,349978,True
119,575509,334118,True
120,559018,348656,True
121,579647,330571,True
122,605216,333927,True
123,557775,331112,True
124,576671,331473,True
125,577914,333337,True
126,754010,395645,True
127,592111,370638,True
128,600477,377020,True
129,583585,352012,True
130,609684,341883,True
131,597191,349988,True
132,579337,339318,True
133,581059,356902,True
134,574618,342314,True
135,605928,341031,True
136,611898,368684,True
137,646815,360679,True
138,587572,350339,True
139,575008,351622,True
140,581331,347534,True
141,565279,354166,True
142,562013,336223,True
143,577092,334018,True
144,558336,335250,True
145,572313,337875,True
146,555541,377110,True
147,561472,354207,True
148,692172,342284,True
149,577103,332855,True
150,576812,332686,True
151,583615,332274,True
152,578204,333467,True
153,557234,331253,True
154,555020,331203,True
155,558527,330442,True
156,571031,339919,True
157,555461,343416,True
158,556643,332355,True
159,648007,386348,True
160,579597,333798,True
161,558948,383152,True
162,577353,353085,True
163,800073,371599,True
164,583965,439599,True
165,567674,335030,True
166,559989,331092,True
167,556643,330010,True
168,583184,331693,True
169,555441,331583,True
170,667245,348305,True
171,579827,379425,True
172,560480,335360,True
173,559138,341923,True
174,558016,371148,True
175,575860,334679,True
176,562294,330742,True
177,555270,330651,True
178,1665892,340240,True
179,558958,333247,True
180,590748,342474,True
181,555612,329830,True
182,669429,420142,True
183,589566,340009,True
184,558857,332084,True
185,610115,334288,True
186,599455,397920,True
187,609915,351622,True
188,583625,331624,True
189,558316,331213,True
190,558697,416015,True
191,556032,328096,True
192,556533,398190,True
193,598263,341823,True
194,605266,348456,True
195,556072,331874,True
196,578225,328177,True
197,554670,330311,True
198,556082,327756,True
199,577313,345780,True
