Iteration,Encryption Time,Decryption Time,Verification
0,1931098,1983848,True
1,1809477,1950846,True
2,1817181,1996762,True
3,2003616,1984981,True
4,1900941,1958409,True
5,1811490,2008449,True
6,2038832,2011330,True
7,2183252,1889679,True
8,1872888,2167687,True
9,1910409,2139233,True
10,1910459,2139584,True
11,1705709,1847369,True
12,1943702,2005279,True
13,1754823,2144914,True
14,1975662,1937801,True
15,1903114,1955755,True
16,1564512,1817041,True
17,1466997,1952268,True
18,1469220,1811481,True
19,1506882,1822641,True
20,1452218,1872065,True
21,1423995,1779419,True
22,1535221,1871233,True
23,1456586,1758320,True
24,1461155,1726810,True
25,1635897,5376205,True
26,1410940,1723363,True
27,1319856,1737971,True
28,1499127,1929755,True
29,1927845,1902484,True
30,1441848,1774159,True
31,1407934,1697995,True
32,1285973,1731729,True
33,1406651,1890000,True
34,1347489,1756496,True
35,1306511,1616110,True
36,1358029,1804267,True
37,1325738,1777276,True
38,1416861,4358328,True
39,1342831,1706681,True
40,1350335,1706331,True
41,1302524,1747750,True
42,1279741,1660404,True
43,1419927,7071787,True
44,1335075,1673238,True
45,1427752,1823784,True
46,1437300,1877506,True
47,1424356,1737089,True
48,1312783,1731198,True
49,1330206,1743070,True
50,1398977,1870223,True
51,1390471,1892465,True
52,1304487,1662057,True
53,1379210,1823203,True
54,1482716,1978367,True
55,1457578,1860834,True
56,1414947,1860404,True
57,1361867,1877647,True
58,1320509,1877496,True
59,1448932,2006261,True
60,1432430,1962557,True
61,1358490,1675553,True
62,21584628,2104136,True
63,1359142,1680532,True
64,1440166,2027140,True
65,1405540,1925036,True
66,1454703,1843331,True
67,1386323,1895861,True
68,1624889,1881324,True
69,1387305,1889719,True
70,13480103,1900059,True
71,1582475,2134895,True
72,1354062,1723514,True
73,1385662,1857248,True
74,1368148,1717061,True
75,1407303,1863079,True
76,1392615,1872587,True
77,1424535,1711831,True
78,1406291,1856085,True
79,1352028,1836438,True
80,1474500,1836959,True
81,1335787,1814246,True
82,1372638,11061033,True
83,1387496,1868149,True
84,1337951,10581424,True
85,1562665,2467896,True
86,1411370,1792825,True
87,1509908,1915338,True
88,1428052,1937610,True
89,1420128,1834855,True
90,1609738,1802253,True
91,1484219,3132249,True
92,1440877,2041347,True
93,1596102,1866335,True
94,1528483,3135956,True
95,1540285,1769491,True
96,1408695,1778327,True
97,4429869,1952369,True
98,1431098,1739374,True
99,1371696,1767407,True
100,1405360,1718033,True
101,1347179,1830066,True
102,1353120,1866495,True
103,1394378,1923594,True
104,1500420,2019937,True
105,1247048,1805239,True
106,1330367,1814597,True
107,1428874,1876134,True
108,1438923,5385434,True
109,1422853,1775642,True
110,1351086,1683668,True
111,1616646,1992865,True
112,1492595,1864071,True
113,1477296,1960373,True
114,1419876,1871164,True
115,1401051,1991092,True
116,1379860,1937830,True
117,1389529,2084519,True
118,1394729,1879399,True
119,1477403,2136682,True
120,1548231,1905249,True
121,1508245,1974651,True
122,1883173,2140636,True
123,2411446,2004107,True
124,1478548,1955294,True
125,1465804,1969501,True
126,1435086,1900590,True
127,1375162,1964501,True
128,1494097,3715858,True
129,1396783,1932291,True
130,1365113,1913635,True
131,1462658,1972396,True
132,1496101,1827712,True
133,1355073,1745435,True
134,1476174,1765043,True
135,1389579,1840626,True
136,1399849,1910248,True
137,1459717,1843601,True
138,1365523,1875983,True
139,1387205,1988447,True
140,1388287,1842499,True
141,1370693,1930657,True
142,1389509,1751296,True
143,1360985,1857067,True
144,5480505,1757057,True
145,1612213,1970723,True
146,1508715,2238692,True
147,1422321,1862608,True
148,7277537,2495586,True
149,1371495,1817162,True
150,1405199,1926769,True
151,1356657,1846427,True
152,1360193,1840586,True
153,1409577,1881203,True
154,1395009,1822130,True
155,1411531,1854282,True
156,1400150,1731219,True
157,1369942,1853260,True
158,1425217,2001832,True
159,12942145,1851882,True
160,1561925,1804532,True
161,1469061,1934875,True
162,15353070,1876724,True
163,1428944,2203024,True
164,1433413,1942379,True
165,1452930,1933533,True
166,1447409,1889689,True
167,1397233,3287945,True
168,1479200,1786042,True
169,1422141,1854963,True
170,1519326,12889556,True
171,1549382,1982996,True
172,1484700,1995389,True
173,1435637,1875773,True
174,1432361,1898306,True
175,1626690,12669170,True
176,1357879,1943261,True
177,1522942,2047870,True
178,1540425,1937690,True
179,1501872,1832481,True
180,1410389,1917572,True
181,1556546,1818995,True
182,1442529,1898365,True
183,1437831,1943942,True
184,1422311,1983377,True
185,1431168,1948120,True
186,1447169,1864050,True
187,1511470,1910588,True
