Iteration,Encryption Time,Decryption Time,Verification
0,1200931,1288557,True
1,1121129,1249764,True
2,1095892,1105179,True
3,1258711,1412754,True
4,1177105,1336368,True
5,1166776,1326530,True
6,1179751,1456687,True
7,1235487,1478047,True
8,1085191,1350886,True
9,1227982,1257088,True
10,1037621,1787555,True
11,1076023,1273819,True
12,1234845,1514997,True
13,1174982,1319557,True
14,1100189,956046,True
15,1051126,1212192,True
16,803156,1111291,True
17,778549,1167548,True
18,846778,1398466,True
19,885241,1266626,True
20,910971,1355525,True
21,911171,1215509,True
22,965854,1425457,True
23,927411,1370553,True
24,843172,1289640,True
25,842370,1250606,True
26,790040,1382515,True
27,825027,1275423,True
28,852789,1449081,True
29,754724,1120428,True
30,983207,1220749,True
31,860685,1262337,True
32,796533,1188828,True
33,810830,1340787,True
34,875953,1318875,True
35,982178,1303455,True
36,813565,1157829,True
37,861357,1544844,True
38,809167,1183097,True
39,785682,1235597,True
40,752550,1226490,True
41,799679,1280382,True
42,767418,1274100,True
43,11111014,1405329,True
44,737741,1377970,True
45,820920,1281615,True
46,1073209,1301001,True
47,851888,1371475,True
48,816020,1348892,True
49,804188,1271414,True
50,843282,1284560,True
51,928814,1152339,True
52,836799,1231810,True
53,783057,1276665,True
54,842070,1410940,True
55,795451,1414096,True
56,791904,1225518,True
57,870794,1205119,True
58,875092,1182977,True
59,903444,3798930,True
60,901352,1314828,True
61,815980,1259122,True
62,849985,1166005,True
63,813244,1350795,True
64,868550,1269371,True
65,966295,1278819,True
66,868860,1226850,True
67,4679873,1310880,True
68,835888,5402806,True
69,898686,1426289,True
70,912533,1330366,True
71,1640616,1315148,True
72,854653,5247079,True
73,861877,1317632,True
74,892014,1280572,True
75,889389,1253350,True
76,855525,1358209,True
77,931980,1379430,True
78,867728,1729249,True
79,808385,1313345,True
80,814928,1396918,True
81,833994,1231679,True
82,912633,1137400,True
83,890952,1281985,True
84,823534,1274530,True
85,825999,1241678,True
86,902454,1407804,True
87,790772,1353150,True
88,847800,1334774,True
89,883939,1389429,True
90,940887,1383578,True
91,891453,1437179,True
92,819286,1182505,True
93,773789,1298476,True
94,791613,1182156,True
95,843722,1540756,True
96,839454,1332210,True
97,752740,1989127,True
98,904949,1182035,True
99,888217,1310038,True
100,874852,1291793,True
101,628283,859342,True
102,600531,841849,True
103,839014,922101,True
104,869281,1221419,True
105,777848,1311932,True
106,906622,1162367,True
107,887616,1326459,True
