Iteration,Encryption Time,Decryption Time,Verification
0,235828,225980,True
1,210951,243182,True
2,222272,214628,True
3,188528,223044,True
4,216902,257439,True
5,234095,311341,True
6,166065,196653,True
7,207825,219116,True
8,219798,259343,True
9,187937,242661,True
10,231770,309237,True
11,230828,314658,True
12,185874,226180,True
13,231830,311332,True
14,185843,220729,True
15,133163,152389,True
16,178820,254403,True
17,201042,255085,True
18,180994,219497,True
19,127252,208956,True
20,135768,207394,True
21,168059,211031,True
22,136429,209227,True
23,138062,196754,True
24,129185,197785,True
25,126239,201583,True
26,205691,199649,True
27,123464,199929,True
28,135688,209918,True
29,144584,252109,True
30,162839,243382,True
31,165724,276250,True
32,171907,240557,True
33,138373,204850,True
34,137561,200080,True
35,146739,225518,True
36,155646,235798,True
37,135197,229686,True
38,143272,365209,True
39,143773,252079,True
40,117964,187596,True
41,141228,219937,True
42,133704,197646,True
43,133664,199068,True
44,149103,198888,True
45,114538,186154,True
46,135989,215199,True
47,148843,216331,True
48,95572,172287,True
49,96042,154303,True
50,160334,267278,True
51,136028,207835,True
52,138934,218395,True
53,194530,229696,True
54,151588,256457,True
55,168400,195105,True
56,117193,227652,True
57,144955,214657,True
58,140116,268460,True
59,124817,246248,True
60,158551,233784,True
61,147890,230458,True
62,136319,213706,True
63,149193,339475,True
64,168080,218946,True
65,198136,238744,True
66,144454,217533,True
67,157879,238052,True
68,113716,182616,True
69,142441,261777,True
70,151528,242851,True
71,148552,221621,True
72,133002,205651,True
73,124757,197796,True
74,111091,178850,True
75,162508,187546,True
76,98667,152109,True
77,95141,151568,True
78,100551,167027,True
79,90212,152980,True
80,90902,147961,True
81,89340,174882,True
82,90101,145496,True
83,85392,143913,True
84,90683,165294,True
85,85322,143523,True
86,87697,144484,True
87,89580,145737,True
88,106672,184991,True
89,104599,165735,True
90,127141,196483,True
91,152139,424536,True
92,150275,221180,True
93,145827,196143,True
94,135227,202385,True
95,153151,237481,True
96,135788,246529,True
97,146618,244725,True
98,129987,187967,True
99,122001,186915,True
100,142130,215850,True
101,155705,207505,True
102,144765,257619,True
103,220229,218385,True
104,146167,181835,True
105,163190,203967,True
106,88408,145095,True
107,94399,148683,True
108,141338,217964,True
109,135447,192877,True
110,131380,201483,True
111,147450,182907,True
112,124226,224186,True
113,131340,201262,True
114,117723,190201,True
115,89020,186154,True
116,127983,191574,True
117,147905,231209,True
118,135417,204559,True
119,159203,190141,True
120,151238,256537,True
121,149433,238333,True
122,162579,250746,True
123,138333,248973,True
124,151247,257880,True
125,147811,231259,True
126,581915,180894,True
127,119647,183148,True
128,136128,213696,True
129,138312,239304,True
130,144214,240096,True
131,135257,202895,True
132,151818,196794,True
133,154544,163601,True
134,136118,246999,True
135,143112,247710,True
136,144865,243864,True
137,145006,230538,True
138,83588,139655,True
139,83148,137632,True
140,84721,139234,True
141,86965,140597,True
142,87106,140988,True
143,88869,152850,True
144,86254,141910,True
145,85011,139886,True
146,84140,137801,True
147,84631,139855,True
148,84981,138724,True
149,85192,152349,True
150,83909,145687,True
151,84600,155135,True
152,95662,139284,True
153,84540,137861,True
154,83900,139345,True
155,83719,136729,True
156,83499,137862,True
157,82537,135488,True
158,82617,136729,True
159,84270,136208,True
160,84681,149784,True
161,81154,134224,True
162,138473,180803,True
163,102945,141569,True
164,84420,135538,True
165,82347,137261,True
166,81214,133533,True
167,84841,136079,True
168,83088,136539,True
169,79361,128955,True
170,82828,144113,True
171,123335,155665,True
172,100752,155405,True
173,83920,135718,True
174,82787,134556,True
175,91414,134295,True
176,78819,131389,True
177,82317,135006,True
178,82467,135137,True
179,83098,134054,True
180,104489,139064,True
181,81114,132742,True
182,82206,166686,True
183,83298,134044,True
184,81465,136159,True
185,82767,133113,True
186,80322,132441,True
187,78519,131149,True
188,81204,132442,True
189,81324,132191,True
190,80883,170454,True
191,127623,135948,True
192,80283,132411,True
193,81484,132121,True
194,80623,129616,True
195,76816,128955,True
196,80472,131550,True
197,79381,129676,True
198,80864,128995,True
199,77978,142060,True
200,81385,130798,True
201,79201,130448,True
202,79921,128584,True
203,77577,127743,True
204,76936,129195,True
205,77708,130638,True
206,80513,130588,True
207,106763,158501,True
208,103377,191524,True
209,88489,182537,True
210,131650,199308,True
211,78108,166096,True
212,122382,199950,True
213,129776,208806,True
214,103096,191854,True
215,84842,132000,True
216,149904,162829,True
217,159693,222873,True
