Iteration,Encryption Time,Decryption Time,Verification
0,5792001,3124114,True
1,3931898,2397213,True
2,5304294,3099026,True
3,4822349,2801481,True
4,7101078,2701561,True
5,4473897,2089579,True
6,5522859,3040956,True
7,6727136,3102143,True
8,5177053,2751186,True
9,5656103,3112682,True
10,5578991,3019014,True
11,5277965,2814626,True
12,6089962,2919275,True
13,5707881,2615959,True
14,5430294,3064109,True
15,5325961,5245629,True
16,3855532,2194147,True
17,4235364,2676984,True
18,5568436,2903074,True
19,4660011,5955847,True
20,3793053,2497213,True
21,5516697,2786303,True
22,6875258,2735505,True
23,4669940,2869850,True
24,4929813,2903805,True
25,4561865,2385360,True
26,5379167,2750955,True
27,5231386,2898926,True
28,4779695,2729283,True
29,4650142,2484108,True
30,5383264,2804757,True
31,5358147,3436948,True
32,5435303,2792735,True
33,5201990,2946226,True
34,5490098,2836958,True
35,5353138,2935315,True
36,5236867,2819465,True
37,5509023,2863058,True
38,5351855,3007332,True
39,5392542,2969139,True
40,5557215,2791092,True
41,5538360,3040661,True
42,5483605,3044563,True
43,5393844,3055052,True
44,5581621,2776003,True
45,5469208,2948039,True
46,5573065,2016440,True
47,6511734,2613985,True
48,5604775,2753851,True
49,5240523,3080621,True
50,5112250,2071304,True
51,5514368,3039974,True
52,5359900,3101781,True
53,5604325,2744934,True
54,5281912,2650534,True
55,5794856,2826628,True
56,4115167,3327841,True
57,5573546,3147578,True
58,5090589,2918103,True
59,5592782,2667477,True
60,5492462,3366264,True
61,9520687,3457517,True
62,5569379,2902663,True
63,5370791,3007382,True
64,8311837,3027636,True
65,9226644,9296215,True
66,6835904,2874339,True
67,5364129,3717721,True
68,5461904,2955875,True
69,5266874,3026428,True
70,5467715,2848050,True
71,6429402,3002283,True
72,7242600,2949803,True
73,5385969,3008735,True
74,5000778,3007572,True
75,6020861,3649687,True
76,5486460,2877636,True
77,5578105,2785260,True
78,5023341,2977425,True
79,5254560,2821479,True
80,4159205,8716221,True
81,5248168,3150574,True
82,5709319,2966534,True
83,5489807,2846336,True
84,12140926,3194641,True
85,5865230,2858019,True
86,6842055,2805518,True
87,5229983,2989928,True
88,4444963,2438648,True
89,5442076,2943401,True
90,5582223,3055433,True
91,5527850,2884509,True
92,5533801,3249672,True
93,5402752,3034022,True
94,3950929,3077691,True
95,9869716,4734663,True
96,5806689,3029804,True
97,5339762,3079238,True
98,5529803,2876052,True
99,5339051,3040865,True
100,5344551,3154301,True
101,5979062,2970332,True
102,5611167,2828171,True
103,5478456,3143251,True
104,5454269,2958209,True
105,5603122,2828011,True
106,5978130,3024324,True
107,5579267,2775923,True
108,10121880,3403935,True
109,5431366,2965322,True
110,5061604,5171864,True
111,5337397,2977185,True
112,6534101,2547078,True
113,5510206,2872776,True
114,5399997,2997122,True
115,5408813,2998135,True
116,5539942,2863249,True
117,5507591,2874710,True
118,5443209,3007172,True
119,7519408,3134947,True
120,5568066,2905889,True
121,5438730,2873819,True
122,5495271,3178263,True
123,5428450,3094858,True
124,5452847,3004126,True
125,5488134,3025136,True
126,5558798,2888786,True
127,5850547,2500820,True
128,7862774,3986391,True
129,5523080,2996893,True
130,5423210,2804737,True
131,5540453,3027731,True
132,5881591,6561563,True
133,5539953,2938201,True
134,5441616,3017231,True
135,5555151,2889098,True
136,5586020,2884288,True
137,5460291,2986031,True
138,7390836,2119056,True
139,10476603,3941237,True
140,5549961,2941928,True
141,5432318,3007051,True
142,5551074,2920988,True
143,9348401,3025637,True
144,5463397,3018132,True
145,5272264,3393545,True
146,5454720,3010218,True
147,5584116,2908705,True
148,5460882,2995069,True
149,5580329,2860273,True
150,9554863,3247438,True
151,5602240,2891302,True
152,5550803,2988887,True
153,5472424,3156866,True
154,5221167,3279594,True
155,6685058,3074099,True
156,5508312,2967186,True
157,5329934,3004226,True
158,5417309,2977886,True
159,5293775,2983496,True
160,5025455,2837099,True
161,5496480,2821028,True
162,6435403,3871666,True
163,5389927,2976643,True
164,5516828,2886132,True
165,5358357,2963449,True
166,5969278,4409932,True
167,5434552,3070291,True
168,5392733,3042198,True
169,5807137,3470064,True
170,5614074,2936597,True
171,5508312,2992824,True
172,6099275,3162807,True
173,5832743,2751607,True
174,5419764,2982174,True
175,5462014,3042168,True
176,5569147,2945775,True
177,5588274,2878528,True
178,5403243,3016750,True
179,5603332,2937118,True
180,5394105,3026398,True
181,5519895,3033081,True
182,8048051,2704351,True
183,5485960,3049963,True
184,5338086,4502295,True
185,5377311,3533583,True
186,6083305,3010248,True
187,5565000,2999787,True
188,7645338,3604089,True
189,5522238,3307743,True
190,5546735,2991041,True
191,5510497,3033492,True
192,5577844,2951776,True
193,5581391,2983817,True
194,5516448,2979069,True
195,5586831,2686883,True
196,5535934,2545776,True
197,5326828,3063429,True
198,5525324,3407652,True
199,4337248,1906772,True
200,4323533,1722672,True
201,4515837,1846588,True
202,4999425,2600600,True
203,4121167,4730138,True
204,6045883,2905308,True
205,7214413,3925606,True
206,5243710,2943310,True
207,5188555,2956105,True
208,5271853,2971564,True
209,5356324,2942980,True
210,6124032,2855414,True
211,5447446,2848090,True
212,5458918,2858720,True
213,5832302,2951583,True
214,5492382,2863289,True
215,5601128,2939272,True
216,5038848,3843589,True
217,5486561,2808354,True
218,5262996,2841617,True
219,5377584,2946957,True
220,4975290,3098065,True
221,5395387,2934904,True
222,5321437,2944693,True
223,5640332,2921489,True
224,5426377,2938771,True
225,5502682,2715117,True
226,5567154,2856004,True
227,5450963,2852077,True
228,5440052,2917271,True
229,5364359,2901942,True
230,5391209,4012234,True
231,5472534,2567136,True
232,4628291,4978111,True
233,5606238,2869320,True
234,6194856,2895088,True
235,5597793,2992554,True
236,8510274,3614215,True
237,8332075,2956575,True
238,5310924,3035055,True
239,5228380,3312632,True
240,5408643,3128021,True
241,5317850,2954011,True
242,5607571,3399527,True
243,5453308,3021589,True
244,5502962,2861616,True
245,5525445,2643642,True
246,5797025,3781458,True
247,8302110,3792426,True
248,5591650,2836608,True
249,5433455,2221589,True
250,5174087,3026468,True
251,5695558,3358950,True
252,5741775,3055583,True
253,5488073,2873958,True
254,5432398,2990210,True
255,5491320,2855594,True
256,5457025,2993686,True
257,5520565,2990631,True
258,5585289,2896322,True
259,5593865,2944463,True
260,4892172,2607422,True
261,5593715,3083656,True
262,7576721,5918280,True
263,5871752,4609464,True
264,5354560,2988756,True
265,5037267,3125726,True
266,5664939,2934654,True
267,6438488,3006019,True
268,5494385,2994457,True
269,5874708,2819706,True
270,5480598,3035565,True
271,5696128,2900678,True
272,5462024,3059210,True
273,5540933,3010187,True
274,5619463,2926227,True
275,5565119,3021328,True
276,5306605,10749871,True
277,12377131,3109576,True
278,5603923,3006790,True
279,5529691,3213974,True
280,4025079,5645700,True
281,5919011,3083446,True
282,4659044,3633042,True
283,5700907,3010238,True
284,5524672,2944353,True
285,5503021,3049713,True
286,5548438,3047769,True
287,5658637,2855313,True
288,5732657,3133742,True
289,5623851,2997744,True
290,5772193,2941417,True
291,5661854,2753941,True
292,5822499,3083326,True
293,4982493,1741719,True
294,4910036,1717823,True
295,5542488,2959090,True
296,5474332,1832881,True
297,5596599,2372046,True
298,3846886,1718213,True
299,4081723,1759633,True
