Iteration,Encryption Time,Decryption Time,Verification
0,244805941,4044322082,True
1,241104786,4032147686,True
2,243838947,4065800018,True
3,242010016,4034518294,True
4,244774353,4049722345,True
5,240274940,4032574101,True
6,239974308,4038599522,True
7,241148453,4040227037,True
8,241041898,4049070710,True
9,240392490,4042638679,True
10,240841001,4024684393,True
11,242139053,4037457510,True
12,243638293,4034784411,True
13,242334690,4060590236,True
14,238497281,4045628350,True
15,240541356,4034767758,True
16,242168529,4035264719,True
17,242802765,4034968626,True
18,239675948,4036840191,True
19,243662665,4053952910,True
20,245663599,4042714384,True
21,242287881,4027069229,True
22,239831875,4031211037,True
23,241490122,4043347077,True
24,241944283,4022773794,True
25,242681396,4063249925,True
26,241360500,4061545494,True
27,243943413,4071713773,True
28,245015147,4055410807,True
29,243899505,4088146228,True
30,243581024,4078440174,True
31,241988454,4073980433,True
32,249662099,4081209567,True
33,248535724,4099870796,True
34,250862591,4084802138,True
35,246580505,4072441270,True
36,247915034,4085568008,True
37,248681436,4072113999,True
38,246043037,4079243121,True
39,247574139,4070277433,True
40,240667268,4095004627,True
41,246321107,4064230355,True
42,242740081,4055836963,True
43,242967229,4061228018,True
44,249249769,4053394637,True
45,242326660,4063412288,True
46,245464081,4057046283,True
47,244383734,4076166902,True
48,245439141,4066980207,True
49,243032865,4053898078,True
50,246343120,4071859058,True
51,245263486,4096504025,True
52,246956601,4091194199,True
53,246306868,4099559506,True
54,246115139,4096695567,True
55,245378322,4084725864,True
56,245978704,4089854381,True
57,246392641,4073982714,True
58,250659891,4086940479,True
59,243053502,4042821255,True
60,242084539,4043691252,True
61,243246511,4046801213,True
62,243722238,4038913408,True
63,244247454,4044981777,True
64,243553267,4057400522,True
65,244211848,4058248830,True
66,244511383,4040745633,True
67,240916244,4039222883,True
68,242364223,4049462520,True
69,243723805,4044718460,True
70,244592283,4046608875,True
71,246954462,4061310527,True
72,242806432,4055770848,True
73,245144396,4061094676,True
74,243485555,4080186341,True
75,243699609,4039325377,True
76,242477901,4045734611,True
77,242373624,4043029010,True
78,242695075,4048812318,True
79,241750253,4047152831,True
80,243278428,4046572399,True
81,243856328,4055074982,True
82,241406079,4045319009,True
83,242430395,4042741446,True
84,243681470,4039409763,True
85,242331143,4090681670,True
86,242420406,4064462130,True
87,241569492,4050055076,True
88,243094291,4061740909,True
89,245271441,4040490797,True
90,246789086,4051201798,True
91,243477558,4059907356,True
92,246449816,4069604803,True
93,247043251,4088046881,True
94,248816090,4076239672,True
95,243936029,4053152803,True
96,245925718,4060778692,True
97,242923589,4056034546,True
98,245679044,4058858755,True
99,247487526,4072909976,True
100,249566583,4063146235,True
101,247230667,4090279960,True
102,245877434,4084270493,True
103,244039401,4053049824,True
104,243420967,4042705872,True
105,244327513,4053330422,True
106,242712886,4043755798,True
107,244188421,4034758448,True
108,244832317,4036108615,True
109,242098337,4046770868,True
110,242930421,4051124719,True
111,241742759,4053623494,True
112,252826521,4063938120,True
113,242809034,4062759566,True
114,243147754,4061765121,True
115,244312077,4047999897,True
116,244318494,4039331305,True
117,242235488,4038787625,True
118,246531524,4063180216,True
119,243171822,4060462788,True
120,243837337,4044586087,True
121,243267708,4050615345,True
122,242681066,4047442226,True
123,243222941,4046094188,True
124,242106613,4052292170,True
125,245757214,4037894496,True
126,242741278,4042407763,True
127,241389456,4050918584,True
128,258024028,4061488227,True
129,241287977,4059036294,True
130,246671797,4064170340,True
131,244414172,4057816149,True
132,246859323,4059128314,True
133,245669804,4080135758,True
134,245432715,4082726265,True
135,247767021,4093061343,True
136,244177301,4089917621,True
137,247407568,4082293228,True
138,242836403,4070516453,True
139,244533276,4069347567,True
140,243462402,4066141485,True
141,244897490,4077374903,True
142,246435724,4061472308,True
143,254880417,4092737043,True
144,248124165,4063498867,True
145,245306753,4086653551,True
146,244461964,4071104498,True
147,243942915,4080545569,True
148,257661154,4056401018,True
149,247104116,4063601596,True
150,245826557,4062038382,True
151,243833150,4073616063,True
152,244700207,4062255291,True
153,246518146,4073017926,True
154,245518238,4075087418,True
155,247909209,4059729661,True
156,244116480,4043188704,True
157,241707509,4037955426,True
158,244660858,4048759095,True
159,241541692,4052465094,True
160,245818639,4049453037,True
161,244099223,4055637273,True
162,243420600,4039945538,True
163,242494280,4050180368,True
164,244736370,4046333957,True
165,243111770,4054552638,True
166,242899084,4035261759,True
167,242673295,4056903283,True
168,241346145,4091533751,True
169,244736849,4040958034,True
170,244899337,4054228329,True
171,243022186,4047910865,True
172,244905737,4055557210,True
173,240691785,4047532433,True
174,244581347,4054178385,True
175,242027742,4041327817,True
176,242336577,4039686652,True
177,246352793,4055760228,True
178,244934338,4068204480,True
179,255940078,4075105971,True
180,245169454,4070383985,True
181,243151186,4095429393,True
182,245906305,4070381102,True
183,246269673,4080944594,True
184,248164400,4056584912,True
185,247127974,4052954074,True
186,253003237,4065550715,True
187,248798578,4057993851,True
188,243750867,4064806235,True
189,245006248,4056891616,True
190,243128400,4052386210,True
191,245401379,4055718848,True
192,250728458,4087815854,True
193,243585817,4088824137,True
194,247984830,4106517316,True
195,245926433,4087989953,True
196,247681721,4083390441,True
197,241890802,4065795869,True
198,247691742,4063268375,True
199,243027976,4076045899,True
