Iteration,Encryption Time,Decryption Time,Verification
0,483610238,8095699240,True
1,480114399,8019352848,True
2,507881858,8324138345,True
3,537610313,9895583111,True
4,670787320,7718818818,True
5,513125124,9855151507,True
6,603614391,8275251462,True
7,586112583,7624329722,True
8,474895135,8125026064,True
9,517535787,8247185668,True
10,535266279,9969038780,True
11,566657383,7587875493,True
12,651196882,7714913782,True
13,534487462,8381830683,True
14,448654978,8072845647,True
15,514760715,9932330394,True
16,629954910,7781587927,True
17,585564617,7912305005,True
18,658153359,8031458536,True
19,474278480,7744777049,True
20,473389972,7685829998,True
21,519343218,8555561939,True
22,505234086,7920302970,True
23,487545678,8071306509,True
24,523819560,8431773220,True
25,486155969,7983765127,True
26,508842398,8388856797,True
27,520859288,8520234389,True
28,677780020,11642113896,True
29,708506788,11633372018,True
30,645283234,11357691600,True
31,660687168,11186182611,True
32,452290723,8368863623,True
33,507579867,8591438741,True
34,495050033,8894603777,True
35,456117696,8320759137,True
36,462720466,8385855748,True
37,526224062,9136024625,True
38,517503326,9165448770,True
39,528561532,9066090964,True
40,607426324,10341817406,True
41,594243384,10177573540,True
42,709608095,10189257665,True
43,698573426,10214068349,True
44,643548278,10141259182,True
45,586354362,9986260844,True
46,563554155,9920706294,True
47,551295560,9931102172,True
48,465310174,8201328638,True
49,524083064,8327440575,True
50,489811790,8201874422,True
51,493318190,8147989447,True
52,543458142,8667492839,True
53,567408264,8780252483,True
54,547269822,8729846622,True
55,517747583,8628596850,True
56,502093183,9111497482,True
57,518192315,9167911981,True
58,508932885,9227375523,True
59,537301774,9076620546,True
60,554764393,9439014720,True
61,551318547,10303487909,True
62,570020517,9187188308,True
63,599284131,9656660197,True
64,461263586,8334620103,True
65,499871085,10180675549,True
66,488295039,8186544257,True
67,488840034,8014253887,True
68,518124286,9511822050,True
69,517693365,11006844751,True
70,572911975,9504761946,True
71,562700537,8578442347,True
72,512954623,8483229992,True
73,724969972,7675939673,True
74,626325796,8213688012,True
75,578942558,11013994088,True
76,414363689,9097551112,True
77,842250304,10723907685,True
78,402971309,7081648987,True
79,392368522,8786115669,True
80,410330138,9202656715,True
81,432050595,11311036285,True
82,965769694,8520672117,True
83,463850181,13121159789,True
84,810464452,8736647710,True
85,423033756,8207469174,True
86,1103250695,8956658356,True
87,406615482,7183798834,True
88,875499875,7313717693,True
89,404589092,7825482309,True
90,617886388,7226451545,True
91,559108838,9604134586,True
92,413768208,7540441865,True
93,415193023,9379461321,True
94,397477065,10792671180,True
95,405138677,8969238467,True
96,883150119,10791338944,True
97,682234567,6996362254,True
98,397876735,8269466489,True
99,1613601787,10128084094,True
100,1287632769,10570640269,True
101,411669102,9950766180,True
102,382739138,8738950336,True
103,360563734,8875623595,True
104,401695686,9028589515,True
105,391058975,7736259098,True
106,384794163,7320648978,True
107,430217845,8207585744,True
108,409652245,9871297657,True
109,411588308,9036406056,True
110,412203660,8592739733,True
111,865824240,7600131014,True
112,419322946,8458614837,True
113,419051769,8897160684,True
114,387351218,9235503093,True
115,421272957,9505473780,True
116,424932018,9078211596,True
117,421964867,10208990714,True
118,425712272,7859462523,True
119,417067597,9486655538,True
120,550711178,8017114539,True
121,423137495,8736077492,True
122,412749673,8556074453,True
123,989235882,8028659173,True
124,407795152,7712454599,True
125,426596121,9006058755,True
126,689738110,8410278125,True
127,412734526,8695846954,True
128,407439421,8817376305,True
129,417844100,9141518346,True
130,962714911,8994047550,True
131,461054362,8838295448,True
132,424570755,9212219352,True
133,433627528,7551784278,True
134,479299494,10648174441,True
135,409541770,8534104441,True
136,415919293,8858255208,True
137,761316231,8486396509,True
138,600653796,7814240875,True
139,424778059,7582553873,True
140,413026699,8284105998,True
141,440691583,8521587563,True
142,446317330,8969774548,True
143,414332059,7653265946,True
144,411540647,9406888081,True
145,405612456,9708649410,True
146,407150779,8341413350,True
147,911057948,10974636834,True
148,433933651,8497030056,True
