Iteration,Encryption Time,Decryption Time,Verification
0,3614686,967187,True
1,3532419,6507473,True
2,3275572,990140,True
3,3422661,1010540,True
4,3495729,1052319,True
5,3542769,1061947,True
6,3604416,1005269,True
7,3654251,11080937,True
8,3524133,990511,True
9,3663428,987595,True
10,3684018,1035807,True
11,4929933,1105129,True
12,8619451,1052449,True
13,3521108,1053441,True
14,3425436,1019656,True
15,3696344,988637,True
16,3258139,1016200,True
17,3002333,1003827,True
18,2851937,961747,True
19,2888035,984650,True
20,2760583,965143,True
21,3110327,961586,True
22,2940004,1041809,True
23,2927901,934866,True
24,3084559,942089,True
25,3047107,11614580,True
26,2901691,971475,True
27,2877225,948301,True
28,2979529,968720,True
29,3086433,934796,True
30,3168157,971014,True
31,3014475,985702,True
32,3209646,1051688,True
33,2937239,949474,True
34,2878306,962839,True
35,3130797,985081,True
36,2931338,971836,True
37,2831548,968159,True
38,3334243,998106,True
39,3085651,948722,True
40,2956556,1085862,True
41,2917150,967548,True
42,2929995,971284,True
43,3018293,969431,True
44,3417301,1052329,True
45,3177505,962047,True
46,2938100,996282,True
47,2956936,1004718,True
48,2995971,960945,True
49,3042638,963410,True
50,3067199,978038,True
51,3070672,989529,True
52,3084739,1056918,True
53,2959932,1053160,True
54,3219606,992836,True
55,2871143,1032181,True
56,2829294,929305,True
57,3234414,1002524,True
58,8380590,1369260,True
59,3174359,929556,True
60,2900148,947129,True
61,3152458,967358,True
62,2973428,983759,True
63,3067336,1070934,True
64,3795629,1091012,True
65,3153499,982156,True
66,2937169,1081274,True
67,2816009,934635,True
68,3114836,949574,True
69,2907793,925799,True
70,2870361,997555,True
71,2980600,976745,True
72,2993475,1034104,True
73,2976233,977166,True
74,2970031,957198,True
75,2948109,951167,True
76,2905108,998026,True
77,3251907,1030818,True
78,2854752,929115,True
79,2999748,971575,True
80,2926158,988648,True
81,8332417,2343097,True
82,3171884,938763,True
83,3255673,961276,True
84,3118633,940086,True
85,2833130,1057749,True
86,2982013,1004888,True
87,4663153,1061196,True
88,2902232,963099,True
89,3906219,1027892,True
90,3413002,1044023,True
91,2973007,1022683,True
92,3171954,972857,True
93,3969038,1096327,True
94,2932429,945806,True
95,2960172,1031629,True
96,3258739,1027001,True
97,2922160,963059,True
98,8765919,2743981,True
99,3217051,996453,True
100,3337098,1005530,True
101,7344032,1853135,True
102,2997032,1015148,True
103,3557216,1032401,True
104,3079520,950315,True
105,3447338,1088547,True
106,3212462,996874,True
107,2876183,985903,True
108,3113614,1015859,True
109,2963128,1057008,True
110,8013203,1108836,True
111,2869289,965674,True
112,3112732,1122752,True
113,2852308,964813,True
114,3132340,994239,True
115,2874449,943732,True
116,2872776,976164,True
117,3003164,967227,True
118,2830797,942720,True
119,2796803,953300,True
120,2990099,1038894,True
121,3172706,966105,True
122,2960332,1028393,True
123,2889157,962669,True
124,3612240,1015298,True
125,2886953,934735,True
126,2990510,946207,True
127,2891572,962699,True
128,3027169,964862,True
129,3140575,978007,True
130,5219634,12336851,True
131,3010398,976775,True
132,2937008,1025918,True
133,3221198,960795,True
134,3187314,1006201,True
135,4043506,1063741,True
136,2957076,1024596,True
137,2982575,1021730,True
138,3174840,982877,True
139,2937329,1081093,True
140,2843030,956637,True
141,3402924,920499,True
