Iteration,Encryption Time,Decryption Time,Verification
0,2219825,296244,True
1,1829041,267729,True
2,1890428,282468,True
3,1810026,257951,True
4,1722518,252461,True
5,1816377,263491,True
6,1825434,258943,True
7,1697130,251419,True
8,1766452,257410,True
9,1730193,253713,True
10,1734652,253202,True
11,1765560,252771,True
12,1739751,250807,True
13,1774828,260877,True
14,1813462,257660,True
15,1862686,256268,True
16,1805446,268301,True
17,1806168,256769,True
18,1799555,264303,True
19,1787021,255326,True
20,1748207,279923,True
21,1851384,260726,True
22,1743759,259404,True
23,2440565,274192,True
24,1732577,251108,True
25,1676140,247270,True
26,1805066,261347,True
27,1741885,259123,True
28,1732317,259414,True
29,1814644,358192,True
30,1732147,251078,True
31,1728760,251198,True
32,1749269,256358,True
33,1756594,251148,True
34,1754479,252010,True
35,1787041,253593,True
36,1789653,252711,True
37,1730030,250576,True
38,1850919,261216,True
39,1761098,281636,True
40,1771377,252800,True
41,1824560,252891,True
42,1802066,260285,True
43,1769946,254784,True
44,1753374,251409,True
45,2188405,272649,True
46,1756108,285283,True
47,1781708,256879,True
48,1845649,276075,True
49,1771388,252400,True
50,1893690,265975,True
51,1842343,327703,True
52,2293781,286935,True
53,1785073,252169,True
54,1761139,267669,True
55,1752422,273591,True
56,1826473,262489,True
57,1740540,278419,True
58,1737093,260345,True
59,1714550,255787,True
60,1819540,370675,True
61,1745479,253873,True
62,1698119,249014,True
63,1708809,248913,True
64,1804811,254914,True
65,1779603,251809,True
66,1724849,257469,True
67,1893500,263491,True
68,1771428,258221,True
69,1690804,264814,True
70,1821754,260896,True
71,1763603,252981,True
72,1829920,253852,True
73,1726703,250937,True
74,1811373,258873,True
75,1758434,259143,True
76,1739317,252119,True
77,1757141,257690,True
78,1798158,310310,True
79,1781718,262248,True
80,1747082,251708,True
81,1782079,325919,True
82,1720521,250787,True
83,1707096,256027,True
84,2074785,296614,True
85,1749566,277749,True
86,1772460,257249,True
87,1754366,257339,True
88,1715422,253482,True
89,1693811,249204,True
90,1679062,247451,True
91,1697227,248854,True
92,1740018,251699,True
93,1694251,249484,True
94,1733426,258662,True
95,1735430,310871,True
96,1779323,271165,True
97,1819490,261246,True
98,1994462,393769,True
99,1802196,261427,True
100,1737935,262408,True
101,1745299,258983,True
102,1707707,271847,True
103,1756279,251869,True
104,1682068,279081,True
105,1716504,251458,True
106,1697327,290152,True
107,1738105,255466,True
108,1828807,260596,True
109,1756861,258271,True
110,1775987,275133,True
111,1693549,248522,True
112,1706655,251048,True
113,1737474,250696,True
114,1714961,250056,True
115,1871728,259433,True
116,1799832,256467,True
117,1698890,249384,True
118,1818137,253312,True
119,1752241,406353,True
120,1768433,379702,True
121,1729118,271746,True
122,1898479,276586,True
123,1818247,295722,True
124,1711153,271437,True
125,1702287,250757,True
126,1907336,263872,True
127,1731683,249645,True
128,1749206,252680,True
129,1724659,249264,True
130,1784784,250436,True
131,1733696,258742,True
132,1756339,250346,True
133,1767601,251659,True
134,1815321,345628,True
135,1766429,258591,True
136,1781266,279482,True
137,1740309,252110,True
138,1768532,253302,True
139,1767320,254114,True
140,1752152,251578,True
141,1809991,258311,True
142,1810733,263150,True
143,1787688,260225,True
144,1748615,298608,True
145,1749146,259664,True
146,1700664,260305,True
147,1687809,247401,True
148,1811634,252931,True
149,1728406,255236,True
150,1819469,260736,True
151,1743285,254874,True
152,1802908,262048,True
153,1756901,371106,True
154,1755087,250657,True
155,1798580,257529,True
156,1720141,251979,True
157,1759966,251448,True
158,1743174,302495,True
159,1696937,246037,True
160,1814009,293157,True
161,1751630,252830,True
162,1737183,262269,True
163,1679443,250917,True
164,2072070,375935,True
165,1884914,288689,True
166,1749818,253482,True
167,1717495,285362,True
168,1734177,252751,True
169,1725481,250957,True
170,1707998,270625,True
171,1741010,249925,True
172,1703730,249093,True
173,1742934,333133,True
174,1768412,252641,True
175,1843335,958593,True
176,2137545,344084,True
177,1768052,252821,True
178,1760628,253963,True
179,1694853,292055,True
180,1721964,289731,True
181,1707617,278709,True
182,1680365,266267,True
183,1830570,252239,True
184,1857622,263751,True
185,1765527,333374,True
186,1747562,274221,True
187,1784603,303317,True
188,1724078,298527,True
189,1707707,294550,True
190,1929466,349129,True
191,1787327,308463,True
192,1748194,272575,True
193,1786406,260112,True
194,1895693,266643,True
195,1878620,299817,True
196,1808909,263237,True
197,1850638,260863,True
198,1750298,251044,True
199,1764104,259100,True
