Iteration,Encryption Time,Decryption Time,Verification
0,126283146,180470117,True
1,215762451,100845653,True
2,131712969,111688852,True
3,132120944,107150722,True
4,135958902,111118258,True
5,128852315,165952995,True
6,132639428,105250202,True
7,167406078,112015046,True
8,144459830,108678755,True
9,297908267,308903708,True
10,128726392,106979748,True
11,147800115,107550941,True
12,286835959,103363617,True
13,176854578,105764149,True
14,206571213,246625769,True
15,116248860,108783810,True
16,90528175,89309934,True
17,90479182,96133143,True
18,100297050,94899378,True
19,90149557,96696201,True
20,93241109,97063018,True
21,91658803,95056166,True
22,94536639,91414600,True
23,92209850,99750965,True
24,94706653,93214891,True
25,90264797,90854196,True
26,94195293,88801788,True
27,270337658,162184244,True
28,181340436,92238858,True
29,87087653,91916243,True
30,167235797,300935714,True
31,85412951,94281225,True
32,89601056,93631471,True
33,94424076,91913288,True
34,94399801,95354384,True
35,261167410,289495396,True
36,90407918,97259461,True
37,91432013,96143491,True
38,93023186,96880888,True
39,92209850,95157570,True
40,110901783,89802470,True
41,90970207,94673209,True
42,92269595,88927778,True
43,91820953,87205225,True
44,93079011,88938316,True
45,96041007,90613659,True
46,91514169,88710945,True
47,95060234,91303791,True
48,303550373,320261176,True
49,99291286,90656801,True
50,92737694,91574325,True
51,91630060,92026402,True
52,259180111,235663143,True
53,88447184,86739570,True
54,89320614,92484644,True
55,88435773,92719859,True
56,88897108,89993441,True
57,87154328,90049770,True
58,87932958,92383702,True
59,89604173,93879653,True
60,89936890,96310670,True
61,91102188,92007627,True
62,89016114,98525206,True
63,96404878,101931007,True
64,93990903,96504790,True
65,91836732,92020512,True
66,273998575,92672581,True
67,91980625,91862541,True
68,92501475,89129752,True
69,93093260,87636995,True
70,89697168,89483462,True
71,89297319,92954565,True
72,89916885,91527095,True
73,213783786,125422249,True
74,90623487,91226926,True
75,211667887,277929917,True
76,89508842,95316726,True
77,90035931,190616569,True
78,92600503,92374503,True
79,87565610,89736573,True
80,91910854,92676036,True
81,94640738,92567690,True
82,90342815,87887531,True
83,93936319,92759367,True
84,95450537,90634659,True
85,247737239,174293423,True
86,93096064,279150239,True
87,93173570,88581310,True
88,88732400,91861315,True
89,89709684,91455527,True
90,187073402,274592351,True
91,91860333,96223432,True
92,89269327,93753312,True
93,101313131,98725743,True
94,87659279,91236623,True
95,88699614,89074888,True
96,100492350,99621118,True
97,95571564,89602238,True
98,94845775,95216703,True
99,92760565,90438236,True
100,94129766,95960133,True
101,129740064,180284187,True
102,88601227,100540855,True
103,94246119,90702318,True
104,94085483,85065382,True
105,92877306,85789016,True
106,89728716,88305948,True
107,256812482,252321494,True
108,271187127,95379134,True
109,85216419,91314340,True
110,87445292,90518239,True
111,85843490,89992670,True
112,90362287,98375489,True
113,122254125,161055163,True
114,96995191,95085727,True
115,93817201,195466513,True
116,91722826,90796026,True
117,97047580,86588805,True
118,92828859,85524221,True
119,95844879,86240580,True
120,92271671,89251609,True
121,89656251,94151168,True
122,288812348,204310329,True
123,90456000,92743354,True
124,164177079,90648346,True
125,89393202,91976277,True
126,125035442,302896852,True
127,89487217,88656420,True
128,101106759,94309338,True
129,91115576,176830162,True
130,89172531,88276590,True
131,86432126,93553985,True
132,94704359,99400461,True
133,89150990,95079053,True
134,90564446,95678641,True
135,93194050,89283944,True
136,93495512,94959955,True
137,145965279,95751544,True
138,89485436,92900263,True
139,97355096,92349116,True
140,255247538,297310434,True
141,93052883,95803620,True
142,88841764,90856474,True
143,91667920,267234188,True
144,91954899,91920252,True
145,91163324,88649559,True
146,96946819,94938960,True
147,93312556,91566911,True
148,92989765,89720252,True
149,94980647,89542602,True
150,95209121,92478819,True
151,315130747,285154921,True
152,93254375,89091588,True
153,94778235,107589643,True
154,93536950,103730734,True
155,155831863,92423334,True
156,89060257,92265868,True
157,93964496,92322065,True
