Iteration,Encryption Time,Decryption Time,Verification
0,102234512,292193635,True
1,94494352,115903823,True
2,102010637,93491216,True
3,103819884,150456974,True
4,112053753,120111412,True
5,98730938,95192787,True
6,112254304,123104973,True
7,101580129,112921589,True
8,155528809,96792721,True
9,321888437,272133796,True
10,109613648,256547640,True
11,111726455,114187069,True
12,108830700,102896960,True
13,120447073,106122548,True
14,130581988,107729515,True
15,113868700,97087294,True
16,84388957,88408520,True
17,81158060,86585918,True
18,87507008,83445143,True
19,87221095,84812465,True
20,90178131,89514792,True
21,92225610,87516327,True
22,93773751,89474167,True
23,96450155,87382543,True
24,241219474,119669642,True
25,266958355,216241835,True
26,86458547,83289057,True
27,88120603,89645923,True
28,88382876,88498557,True
29,90760047,85640152,True
30,86654088,88258045,True
31,87070885,82930676,True
32,85656915,88481481,True
33,93663965,91583402,True
34,224701533,87169078,True
35,109230356,111274476,True
36,87046845,166932532,True
37,141777067,124218576,True
38,88315443,83033022,True
39,87515515,85192243,True
40,89213561,87309371,True
41,84940373,84249090,True
42,87057365,102020246,True
43,85388996,87405227,True
44,211969782,152393335,True
45,86620953,88153408,True
46,96404391,90917307,True
47,89034207,88078475,True
48,86746111,87435154,True
49,88232857,84580439,True
50,93312176,90547230,True
51,89543017,86684604,True
52,235731964,95207114,True
53,87198604,88505946,True
54,198767326,87544517,True
55,85395318,87113702,True
56,92513335,140886550,True
57,89100944,87840182,True
58,87487534,214330863,True
59,217965651,93366820,True
60,95955771,170207585,True
61,86908403,82914504,True
62,86705537,87928537,True
63,87200607,87659886,True
64,107938441,90023117,True
65,89588453,94612615,True
66,90022246,91846110,True
67,92452058,91405212,True
68,84223320,89270147,True
69,87831905,86260741,True
70,88146082,89433276,True
71,90496516,83942838,True
72,91582979,86115377,True
73,178451804,138021722,True
74,240547852,131166350,True
75,91116426,115205412,True
76,167902624,253844569,True
77,83810447,84810056,True
78,86412339,89486187,True
79,106221524,87095098,True
80,163334095,82215433,True
81,87711809,90225743,True
82,239127175,88265614,True
83,86967234,89201357,True
84,86172463,86215076,True
85,85366101,86972413,True
86,227745478,299587238,True
87,87740143,83349826,True
88,90238668,83282776,True
89,86220976,86026972,True
90,180324596,108581068,True
91,288047111,185273423,True
92,82956377,88436258,True
93,87369918,222892111,True
94,83753907,86274866,True
95,85042696,87315680,True
96,85256610,84518687,True
97,86950386,84734677,True
98,100932586,105690377,True
99,85783920,84877319,True
100,88125089,88483828,True
101,86939375,95482755,True
102,85793849,89153319,True
103,82974805,100866727,True
104,86776837,85860897,True
105,89818783,81785156,True
106,90344115,85823425,True
107,283494062,286396587,True
108,87265233,86091324,True
109,87226490,88640418,True
110,86332954,265562122,True
111,129326866,94332818,True
112,85803328,85418367,True
113,88016826,89530208,True
114,87194962,87371626,True
115,89810610,89472466,True
116,285927025,179484389,True
117,88579053,85255001,True
118,86873309,87566587,True
119,84998782,86367378,True
120,87555522,88258089,True
