Iteration,Encryption Time,Decryption Time,Verification
0,1491844,1460961,True
1,1422858,1436504,True
2,1592210,1656713,True
3,1619372,1418099,True
4,1426054,1406276,True
5,1420143,1409753,True
6,1406456,1503742,True
7,1408901,1417819,True
8,1427527,1408711,True
9,1407679,1439159,True
10,1410775,1406467,True
11,1410224,1454438,True
12,1736795,1951123,True
13,1432226,1423690,True
14,1421155,1559418,True
15,1427476,1482892,True
16,1566531,1427367,True
17,1432296,1477662,True
18,1678475,1657244,True
19,1489164,1436404,True
20,1407669,1693583,True
21,1631936,1427917,True
22,1450922,1408731,True
23,1418349,1407108,True
24,1420904,1421025,True
25,1426315,1405966,True
26,1500045,1409211,True
27,1442044,1418860,True
28,1407188,1443778,True
29,1416456,1407459,True
30,1479196,1427266,True
31,1411857,1418320,True
32,1409352,1420764,True
33,1418289,1412288,True
34,1406026,1419792,True
35,1493342,1423399,True
36,1417969,1407829,True
37,1407118,1436344,True
38,1416025,1439971,True
39,1420323,1407328,True
40,1411026,1417648,True
41,1407459,1491349,True
42,1421235,1407839,True
43,1406858,1422858,True
44,1408972,1426194,True
45,1578765,1816277,True
46,2127730,1736505,True
47,1406467,1448546,True
48,1430663,1415795,True
49,1424120,1408010,True
50,1405615,1459538,True
51,1532096,1498422,True
52,1406086,1484736,True
53,1489846,1465569,True
54,1408521,1559368,True
55,1407819,1422097,True
56,1419882,1407379,True
57,1417328,1449038,True
58,1416035,1406396,True
59,1415113,1470428,True
60,1429772,1433999,True
61,1447105,1413861,True
62,1424722,1411066,True
63,1416796,1505646,True
64,1406848,1790418,True
65,1405334,1427076,True
66,1406397,1418720,True
67,1429060,1408170,True
68,1436064,1415414,True
69,1406166,1416526,True
70,1415193,1600376,True
71,1450100,1408531,True
72,1406236,1417678,True
73,1487872,1408320,True
74,1435993,1426976,True
75,1407098,1416677,True
76,1430002,1407018,True
77,1486423,1646700,True
78,2159099,1440081,True
79,1432987,1410144,True
80,1406537,1577152,True
81,1409082,1406587,True
82,1426374,1421185,True
83,1409573,1451473,True
84,1406698,1569297,True
85,1407018,1421406,True
86,1416166,1407058,True
87,1445191,1425903,True
88,1511046,1407799,True
89,1427627,1406678,True
90,1412298,1517549,True
91,1407329,1405786,True
92,1425894,1408640,True
93,1500916,1459567,True
94,1539670,1419952,True
95,1404794,1421095,True
96,1416386,1407248,True
97,1515364,1419622,True
98,1408602,1450231,True
99,1407890,1404784,True
100,1417889,1409041,True
101,1414142,1416275,True
102,1415725,1938133,True
103,1440301,1417328,True
104,1409041,1411326,True
105,1443758,1411627,True
106,1407218,1497731,True
107,1414873,1429992,True
108,1421867,1435372,True
109,1407779,1405675,True
110,1423198,1404904,True
111,1407859,1433779,True
112,1631751,2106109,True
113,1410104,1412839,True
114,1438148,1553887,True
115,1409642,1405705,True
116,1409843,1406978,True
117,1410455,1543117,True
118,1409934,1406297,True
119,1417869,1407919,True
120,1408331,1418790,True
121,1481550,1408911,True
122,1408601,1429661,True
123,1405705,1405394,True
124,1422127,1742086,True
125,1409753,1416967,True
126,1407078,1484636,True
127,1451813,1453537,True
128,1406978,1418189,True
129,1408541,1406217,True
130,1422838,1465719,True
131,1408942,1419221,True
132,1406697,1406015,True
133,1421786,1415364,True
134,1447094,1404032,True
135,1414813,1489154,True
136,1407950,1408080,True
137,1420974,1608406,True
138,1414402,1566401,True
139,1463736,1561812,True
140,1940102,2325116,True
141,2254621,1945689,True
142,1503851,1858858,True
143,1740533,2110056,True
144,1406918,1407940,True
145,1453386,1422607,True
146,1417749,1409392,True
147,1411577,1406466,True
148,1407790,1476230,True
149,1409322,1404203,True
150,1408050,1554669,True
151,1587030,1458706,True
152,1420013,1436223,True
153,1501428,1431645,True
154,1416977,1443928,True
155,1442817,1502029,True
156,1417038,1421014,True
157,1439970,1436634,True
158,1449639,1430232,True
159,1454077,1410084,True
160,1407709,1428398,True
161,1463104,1410195,True
162,1441233,1410685,True
163,1416196,1409643,True
164,1408070,1499333,True
165,1414552,1519873,True
166,1422257,1422728,True
167,1408440,1441874,True
168,1418460,1796471,True
169,1425433,1438187,True
170,1409943,1537065,True
171,1409473,1453196,True
172,1411496,1499694,True
173,1414001,1406788,True
174,1479225,1512248,True
175,1682707,1464266,True
176,1425673,1416977,True
177,1425603,1406296,True
178,1437376,1407188,True
179,1421496,1424822,True
180,1421796,1427947,True
181,1460409,1422277,True
182,1408451,1405835,True
183,1455951,1418810,True
184,1406738,1547445,True
185,1886069,1471812,True
186,1425092,1426024,True
187,1407669,1530833,True
188,1456372,1409181,True
189,1417278,1418009,True
190,1434861,1419963,True
191,1437807,1414162,True
192,1408621,1501808,True
193,1417719,1407198,True
194,1463315,1431013,True
195,1409072,1419432,True
196,1427848,1416746,True
197,1416977,1408822,True
198,1491579,1432096,True
199,1407007,1437325,True
