Iteration,Encryption Time,Decryption Time,Verification
0,4828229,4784766,True
1,4850121,4787873,True
2,4731625,4758015,True
3,4817709,4738930,True
4,4762114,4820205,True
5,4886410,4817629,True
6,4760591,5125615,True
7,4794575,4770640,True
8,4756915,4838639,True
9,4758657,4772263,True
10,4752835,5082057,True
11,4771131,4948970,True
12,4785658,4755831,True
13,4737968,5268938,True
14,4764577,5344391,True
15,4731416,5068457,True
16,4948768,4792051,True
17,4758778,4835773,True
18,4781800,5179577,True
19,4844260,4929191,True
20,4887072,4913792,True
21,4770569,4878395,True
22,4829482,4854479,True
23,4816677,4767023,True
24,5394953,4790538,True
25,4996420,4746253,True
26,5206594,4843037,True
27,4778024,4774927,True
28,4847095,4764949,True
29,4871201,4769197,True
30,4766972,4757545,True
31,5029823,4757785,True
32,4750952,4845121,True
33,4772312,4745122,True
34,4790168,4756853,True
35,5184266,4895718,True
36,4743228,4757275,True
37,4904163,4779346,True
38,4819383,4835283,True
39,4815695,4750771,True
40,4759559,4761923,True
41,4745693,4778124,True
42,4760019,4754118,True
43,4739902,4812249,True
44,4749148,4831936,True
45,4742547,4765280,True
46,5019017,4826706,True
47,4749429,4760290,True
48,4817630,4959149,True
49,4879045,4791860,True
50,4746654,4819132,True
51,4750912,4753417,True
52,4752226,4821397,True
53,4733068,4761903,True
54,4808201,4742095,True
55,7258856,4973871,True
56,4808481,4787703,True
57,4761873,4756173,True
58,4773876,4770159,True
59,4758327,4783093,True
60,5121206,4778764,True
61,4727717,4795487,True
62,4951104,4909134,True
63,4848166,4806277,True
64,5554923,4837297,True
65,4857705,4845793,True
66,4754760,5201314,True
67,4827547,4745892,True
68,4854669,4795126,True
69,4755220,5537919,True
70,4822658,4810666,True
71,4768125,4779276,True
72,4762594,4765249,True
73,4764889,4809253,True
74,4744159,4857214,True
75,4778124,4878144,True
76,4844161,4769688,True
77,4729220,4779326,True
78,4755511,4750621,True
79,4790557,4782633,True
80,4763035,4849771,True
81,4759207,4756653,True
82,4743327,4790117,True
83,4764549,4744310,True
84,4794564,4769708,True
85,4752616,4855922,True
86,4791128,4978895,True
87,4820480,4754730,True
88,4880088,4781470,True
89,4735012,4824792,True
90,4777403,4745923,True
91,4748618,4819683,True
92,4762445,4772474,True
93,4788764,4761993,True
94,4763948,4755782,True
95,4749008,4762814,True
96,4830283,4941450,True
97,4796159,4885949,True
98,4758957,4930313,True
99,4765921,5187334,True
100,4799664,4854249,True
101,4802291,4781501,True
102,4867884,5051063,True
103,4786670,4833198,True
104,4765160,4794565,True
105,4837857,4733398,True
106,4788133,4852966,True
107,4773083,4759568,True
108,4998845,4764829,True
109,4766311,5057696,True
110,4777592,5510076,True
111,4766092,4758246,True
112,4815545,4836264,True
113,4760901,4805927,True
114,5556756,4734390,True
115,4778385,5001179,True
116,4755100,4774346,True
117,4789596,4831846,True
118,4774066,4759619,True
119,4773265,5021046,True
120,4751785,4790738,True
121,4842586,4745591,True
122,4757565,4804965,True
123,4795898,4786910,True
124,4773265,4816277,True
125,4810015,4751723,True
126,4755020,4743698,True
127,4845011,4790057,True
128,5246145,4773114,True
129,5166689,4736886,True
130,4780148,4758486,True
131,4771461,4748457,True
132,4860180,4747245,True
133,4764497,4815424,True
134,4885208,4736835,True
135,4988424,4922849,True
136,4780219,4780159,True
137,4771070,4743377,True
138,4804645,5104100,True
139,4983966,4838578,True
140,5038249,4874336,True
141,5739393,4772354,True
142,4962975,4749940,True
143,4761773,4970531,True
144,4763505,4788643,True
145,4775339,4766843,True
146,4831655,4753687,True
147,4753697,4747185,True
148,4753557,4779337,True
149,4846834,4849679,True
150,4916407,4762364,True
151,4778354,4751884,True
152,5042778,4772463,True
153,4790207,4736955,True
154,4798572,4823300,True
155,4771311,4774778,True
156,5037097,4741594,True
157,4774116,4752135,True
158,4803733,4741554,True
159,4846835,4932844,True
160,4949860,4861392,True
161,4805977,4762283,True
162,4765971,5490350,True
163,4766121,4823740,True
164,4797551,4972524,True
165,4832046,4793713,True
166,4757815,4764769,True
167,4767654,4768415,True
168,4742345,5155963,True
169,4761763,4988760,True
170,4777462,4744269,True
171,4822678,4742256,True
172,4745612,4775939,True
173,4783544,4780889,True
174,4806388,4771691,True
175,4786058,4806277,True
176,4753407,4773185,True
177,4827127,4755160,True
178,4786450,4756584,True
179,5090422,4735973,True
180,4855151,5187399,True
181,4765750,4751442,True
182,4779997,4764808,True
183,4862785,4739030,True
184,4772995,4783353,True
185,4748237,4740984,True
186,4874368,4733348,True
187,4781439,4750993,True
188,4810516,4776831,True
189,5379207,4790847,True
190,4891700,5106034,True
191,4773635,4760910,True
192,4776541,4730473,True
193,4749870,4743919,True
194,4778114,4778805,True
195,4743819,4804764,True
196,4740662,4754087,True
197,4819051,4763928,True
198,4744350,4993123,True
199,4732206,4823911,True
